------------------------------------------------------------------------------------
Date: 5/18/2025 -- 17:16:59 (uptime: 0d, 00h 00m 13s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
decoder.ipv6                                  | Total                     | 373
decoder.ethernet                              | Total                     | 2302
decoder.arp                                   | Total                     | 77
decoder.unknown_ethertype                     | Total                     | 47
decoder.tcp                                   | Total                     | 1544
tcp.syn                                       | Total                     | 277
tcp.synack                                    | Total                     | 74
tcp.rst                                       | Total                     | 7
decoder.udp                                   | Total                     | 554
decoder.icmpv6                                | Total                     | 78
decoder.avg_pkt_size                          | Total                     | 258
decoder.max_pkt_size                          | Total                     | 1514
tcp.active_sessions                           | Total                     | 193
flow.total                                    | Total                     | 363
flow.active                                   | Total                     | 339
flow.tcp                                      | Total                     | 218
flow.udp                                      | Total                     | 141
flow.icmpv6                                   | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 5
defrag.ipv6.fragments                         | Total                     | 4
defrag.ipv6.reassembled                       | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 1
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1
flow.wrk.flows_injected                       | Total                     | 1
tcp.sessions                                  | Total                     | 194
tcp.ssn_from_pool                             | Total                     | 194
tcp.segment_from_pool                         | Total                     | 284
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 34
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.dns_tcp                        | Total                     | 6
app_layer.tx.dns_tcp                          | Total                     | 12
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 12
app_layer.flow.snmp                           | Total                     | 6
app_layer.tx.snmp                             | Total                     | 15
app_layer.flow.dns_udp                        | Total                     | 78
app_layer.tx.dns_udp                          | Total                     | 155
app_layer.flow.failed_udp                     | Total                     | 54
flow.end.state.new                            | Total                     | 24
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
